iter	Passed	Remaining
0	19	9777
1	37	9392
2	56	9364
3	75	9332
4	93	9238
5	111	9214
6	130	9195
7	148	9147
8	167	9110
9	185	9069
10	205	9151
11	224	9145
12	243	9114
13	261	9093
14	280	9056
15	298	9026
16	317	9006
17	335	8995
18	354	8980
19	372	8946
20	390	8916
21	409	8893
22	427	8870
23	445	8840
24	465	8844
25	483	8818
26	502	8800
27	520	8775
28	540	8771
29	559	8762
30	577	8739
31	596	8727
32	615	8712
33	633	8684
34	651	8658
35	671	8649
36	689	8622
37	707	8607
38	725	8581
39	743	8546
40	760	8513
41	778	8487
42	795	8455
43	812	8422
44	830	8394
45	847	8364
46	864	8334
47	882	8311
48	899	8281
49	916	8252
50	934	8224
51	953	8215
52	970	8188
53	988	8161
54	1006	8147
55	1024	8124
56	1042	8103
57	1063	8102
58	1080	8078
59	1098	8052
60	1115	8028
61	1132	8003
62	1150	7977
63	1167	7954
64	1185	7932
65	1203	7915
66	1220	7890
67	1238	7865
68	1255	7840
69	1272	7816
70	1290	7794
71	1308	7780
72	1326	7760
73	1344	7737
74	1363	7728
75	1381	7706
76	1398	7682
77	1415	7659
78	1432	7636
79	1450	7614
80	1470	7604
81	1487	7583
82	1505	7565
83	1523	7543
84	1541	7524
85	1561	7515
86	1578	7491
87	1599	7486
88	1619	7477
89	1638	7465
90	1657	7451
91	1676	7435
92	1694	7414
93	1711	7391
94	1730	7377
95	1747	7355
96	1766	7339
97	1784	7321
98	1802	7299
99	1819	7277
100	1836	7255
101	1854	7234
102	1871	7211
103	1888	7189
104	1907	7176
105	1928	7166
106	1945	7146
107	1962	7124
108	1980	7102
109	1997	7081
110	2014	7059
111	2033	7045
112	2051	7024
113	2068	7002
114	2085	6981
115	2102	6960
116	2119	6939
117	2139	6926
118	2157	6908
119	2175	6889
120	2195	6878
121	2214	6859
122	2232	6842
123	2252	6829
124	2270	6811
125	2288	6793
126	2307	6777
127	2325	6759
128	2343	6740
129	2362	6723
130	2380	6705
131	2399	6688
132	2417	6670
133	2435	6652
134	2453	6634
135	2472	6616
136	2490	6598
137	2508	6580
138	2526	6561
139	2544	6543
140	2565	6530
141	2583	6513
142	2605	6503
143	2623	6485
144	2641	6466
145	2659	6448
146	2679	6435
147	2698	6417
